run_index,Latency,Throughput,gc_collection_count,gc_collection_time,jvm_loaded_class_count,jvm_total_loaded_class_count,last_gc_info_duration,memory_heap_usage_used,memory_non_heap_usage_used,network_request_FetchConsumer_ResponseSendTimeMs,network_request_FetchConsumer_TotalTimeMs,network_request_Produce_ResponseSendTimeMs,network_request_Produce_TemporaryMemoryBytes,network_request_Produce_TotalTimeMs,network_socket_FetchConsumer_NetworkProcessorAvgIdlePercent,network_socket_FetchConsumer_RequestHandlerAvgIdlePercent,os_committed_vm_size,os_open_fd_count,os_process_cpu_load,os_process_cpu_time,os_system_cpu_load,server_broker_topics_AllTopicsBytesIn,server_broker_topics_AllTopicsBytesOut,server_broker_topics_AllTopicsMessagesIn,server_broker_topics_TotalFetchRequestsPerSec,server_broker_topics_TotalProduceRequestsPerSec,server_purgatory_NumDelayedFetchRequests,threading_thread_count
626,1.2,0.04,6.8,64.4,6960.29,7111.7,15.14,177428701.54,71307822.04,58148.5,58146.0,4195.0,,4194.0,0.85,0.99,7342229858.46,188.7,0.02,13745000000.0,0.53,15416.0,728231.87,16.21,87.12,8.2,26.29,68.21
627,3.48,0.02,6.7,51.1,7004.63,7135.8,12.95,184342851.02,71592825.61,56835.5,56833.5,4278.0,1870.43,4278.0,0.89,0.99,7354818016.97,190.26,0.02,13459000000.0,0.53,3494.6,149563.62,16.93,83.77,8.68,26.74,68.74
628,2.24,0.73,6.3,69.7,7011.96,7153.5,17.8,185302158.67,71792692.4,57549.0,57540.0,8121.0,990.93,8120.0,0.88,0.99,7351651415.12,189.86,0.02,14015000000.0,0.58,6480.33,302730.5,14.8,80.44,14.73,24.85,68.58
629,3.12,0.03,6.6,53.6,7014.82,7145.5,11.91,184288234.52,71680267.28,57988.0,57986.5,4151.0,1908.97,4150.0,0.88,0.99,7355308177.84,191.01,0.02,13068000000.0,0.5,3968.17,188299.64,14.43,83.33,7.3,27.37,68.75
630,1.35,0.04,6.5,54.9,6986.96,7121.9,13.02,188740881.87,71757056.07,55988.5,55986.5,4170.5,,4170.5,0.89,0.99,7353003520.0,190.16,0.02,13587000000.0,0.57,15675.96,726977.0,16.48,82.9,8.34,26.93,68.4
631,2.69,0.03,7.1,63.7,7024.78,7157.2,13.57,186501147.14,71824153.05,55531.5,55529.0,5351.0,1437.24,5350.5,0.89,0.99,7354355243.44,190.89,0.02,13243000000.0,0.54,4846.78,237103.43,14.41,82.24,9.69,24.52,68.65
632,2.16,0.03,7.1,89.6,7012.71,7143.3,23.2,188749931.21,71832022.38,56105.5,56100.0,8122.0,996.61,8121.5,0.88,0.99,7353903060.56,190.24,0.02,13817000000.0,0.56,7249.77,329919.01,16.27,84.2,16.13,24.47,68.58
633,2.22,0.03,6.3,62.1,7003.1,7131.7,15.46,187246588.59,71777399.55,56426.0,56422.0,8220.5,995.91,8219.5,0.89,0.99,7354166213.04,190.54,0.02,13758000000.0,0.56,7066.72,317795.14,16.18,81.82,16.06,23.9,68.57
634,1.38,0.04,6.8,55.3,6999.27,7133.3,10.17,179762518.48,71850722.74,53973.5,53966.5,8291.5,,8290.5,0.9,0.99,7353118415.43,190.27,0.02,14338000000.0,0.57,13502.1,700622.23,13.78,72.55,13.68,25.77,68.63
635,1.96,0.03,6.9,69.5,7014.2,7143.0,15.25,193738216.07,71775286.23,52166.0,52159.5,7808.0,990.93,7808.0,0.89,0.99,7354156568.82,190.17,0.02,13533000000.0,0.57,6950.22,321013.03,15.55,76.36,15.48,26.19,68.58
636,2.85,0.48,6.9,71.5,7017.38,7146.6,21.0,186250868.27,71643091.92,58084.0,58083.5,4031.5,1904.49,4031.5,0.89,0.99,7354704328.15,190.86,0.02,13225000000.0,0.54,4238.02,194127.7,15.16,80.39,7.68,25.29,68.64
637,3.24,0.02,6.6,53.6,6990.24,7118.0,12.84,189998760.77,71520207.41,56654.0,56647.5,4233.5,1916.79,4233.5,0.89,0.99,7354067772.51,190.25,0.02,13423000000.0,0.53,3332.83,145440.6,16.33,79.98,8.23,25.64,68.73
638,2.94,0.03,6.5,62.4,6982.97,7117.8,13.3,188550793.76,71423786.64,53618.5,53613.5,5259.5,1431.69,5259.5,0.88,0.99,7351945774.55,190.01,0.02,13131000000.0,0.54,5315.77,234903.62,15.78,79.64,10.64,27.0,68.66
639,2.78,0.56,6.1,55.3,7007.15,7136.6,15.09,193545136.06,71660160.9,58473.5,58468.0,5335.5,1419.27,5334.5,0.9,0.99,7354534244.85,190.53,0.02,13642000000.0,0.55,5283.4,234001.23,15.9,85.64,10.76,27.38,68.69
640,2.97,0.03,6.3,71.8,6985.26,7114.5,21.2,198761974.98,71719243.62,51659.0,51650.5,7873.0,990.91,7872.5,0.89,0.99,7352914841.6,190.23,0.02,13790000000.0,0.58,5479.15,240389.37,16.56,79.62,16.49,26.15,68.68
641,1.18,0.04,6.5,64.9,6998.71,7128.6,13.8,186022749.73,71801891.96,52824.0,52818.0,5252.0,,5252.0,0.89,0.99,7352161301.72,189.87,0.02,13630000000.0,0.56,14708.26,700361.96,15.31,77.45,10.34,26.29,68.53
642,2.18,0.03,6.9,74.6,7010.11,7141.2,15.85,191621529.78,71962147.93,53507.5,53505.5,8124.5,991.24,8124.0,0.89,0.99,7354527945.7,190.25,0.02,13856000000.0,0.58,7246.77,330420.01,16.21,79.19,16.14,26.31,68.53
643,2.8,0.55,7.1,78.9,6997.21,7137.0,21.5,184834917.03,71524322.21,58608.5,58605.0,5349.5,1428.69,5348.5,0.89,0.99,7349881942.17,189.65,0.02,13573000000.0,0.55,5189.23,227656.48,15.41,82.78,10.38,24.93,68.51
644,2.13,0.03,7.0,63.9,6998.67,7126.7,14.04,195310318.44,71697789.79,52793.5,52791.5,7918.0,990.94,7917.5,0.89,0.99,7354300955.93,190.08,0.02,13733000000.0,0.56,7417.47,339338.37,16.59,81.74,16.51,27.41,68.58
645,2.06,0.71,6.7,66.2,7000.22,7128.5,14.74,183559075.28,71762086.62,58434.0,58432.0,8173.0,990.92,8172.5,0.89,0.99,7354361285.04,190.11,0.02,14048000000.0,0.58,6830.48,314252.37,15.61,83.6,15.53,24.97,68.54
646,1.23,1.5,6.6,75.9,6998.48,7127.3,15.27,182669577.14,71850778.19,56042.5,56037.0,7985.0,,7984.5,0.88,0.99,7354259521.16,190.23,0.02,14159000000.0,0.59,13039.26,682386.42,13.31,77.75,13.24,24.16,68.61
647,2.05,0.03,6.4,53.4,6967.19,7128.1,11.51,188027323.69,71466145.14,55896.5,55889.0,8384.5,991.23,8384.5,0.87,0.99,7346230734.35,188.88,0.02,14116000000.0,0.56,7342.28,332040.53,16.77,82.26,16.7,24.43,68.32
